set_number,name,current_lego_mrp_inr,mbh_storefront_price_NOT_A_CONFIRMED_MRP,mbh_url
42212,"Ferrari FXX K",5800,6849,https://lego.mybrickhouse.com/products/technic-ferrari-fxx-k-model-car-kit-stem-42212-building-kit-897-pieces
21360,"Willy Wonka & the Chocolate Factory",19800,22899,https://lego.mybrickhouse.com/products/ideas-21360-1
854305,"Silver Minifigure Keychain",500,699,https://lego.mybrickhouse.com/products/silver-minifigure-keyring-aesthetic-display-toy-854305
854303,"Dark Turquoise Brick Key Chain",500,699,https://lego.mybrickhouse.com/products/bright-bluish-green-2x4-stud-keyring-aesthetic-display-toy-854303
60453,"Lifeguard Beach Rescue Truck",2200,2749,https://lego.mybrickhouse.com/products/city-lifeguard-beach-rescue-truck-playset-60453-building-kit-214-pieces
71826,"Dragon Spinjitzu Battle Pack",1800,2290,https://lego.mybrickhouse.com/products/ninjago-r-dragon-spinjitzu-battle-pack-action-toy-set-71826-building-kit-186-pieces
71823,"Kai's Dragon Spinjitzu Spinner",900,899,https://lego.mybrickhouse.com/products/ninjago-r-kai-s-dragon-spinjitzu-spinner-action-toy-set-71823-building-kit-54-pieces
42643,"Cotton Candy Stand and Scooter",900,899,https://lego.mybrickhouse.com/products/friends-candyfloss-stand-and-scooter-toy-pretend-play-set-42643-building-kit-110-pieces
40650,"Land Rover Classic Defender",1300,1649,https://lego.mybrickhouse.com/products/land-rover-classic-defender-40650-building-toy-set-for-ages-8-150-pieces
43008,"Nike Dunk",9000,10999,https://lego.mybrickhouse.com/products/nike-dunk-trainer-building-kit-43008-1180-pieces
40795,"Luke Skywalker (Rebel Pilot)",1200,899,https://lego.mybrickhouse.com/products/star-wars-brickheadz-luke-skywalker-rebel-pilot-figure-40795-building-kit-138-pieces
10350,"Tudor Corner",20700,24499,https://lego.mybrickhouse.com/products/icons-tudor-corner-model-for-adults-10350-building-kit-3266-pieces
10356,"Star Trek: U.S.S. Enterprise NCC-1701-D",36000,39399,https://lego.mybrickhouse.com/products/icons-star-trek-u-s-s-enterprise-ncc-1701-d-model-kit-for-adults-10356-3600-pieces
10461,"Grandpa Pig's Garden and Greenhouse",8100,8199,https://lego.mybrickhouse.com/products/grandpa-pigs-garden-and-greenhouse
850154,"Red Brick Key Chain",,699,https://lego.mybrickhouse.com/products/keyring-2x4-stud-red-850154-pieces
42178,"Surface Space Loader",3100,3649,https://lego.mybrickhouse.com/products/technic-surface-space-loader-lt78-set-42178-building-kit-435-pieces
40756,"Lucky Knots",,3199,https://lego.mybrickhouse.com/products/lucky-knots-buildable-chinese-decorations-40756-building-kit-317-pieces
10307,"Eiffel Tower",56700,65999,https://lego.mybrickhouse.com/products/eiffel-tower-10307-building-kit-for-adults-10-001-pieces
40750,"Wednesday & Enid",1800,2099,https://lego.mybrickhouse.com/products/brickheadz-wednesday-enid-tv-series-toys-40750-building-kit-239-pieces
71820,"Ninja Team Combo Vehicle",8100,9099,https://lego.mybrickhouse.com/products/ninjago-r-ninja-team-combo-vehicle-4-in-1-toy-71820-building-kit-576-pieces
854235,"Batman Keyring",500,699,https://lego.mybrickhouse.com/products/dc-batman-keyring-854235-gift-for-fans-of-the-caped-crusader-aged-6
76419,"Hogwarts Castle and Grounds",15300,16499,https://lego.mybrickhouse.com/products/harry-potter-hogwarts-castle-and-grounds-76419-building-set-2-660-pieces
40915,"Lion Dance",,2999,https://lego.mybrickhouse.com/products/lego-lion-dance-spring-festival-decorations-40915
42700,"Candy & Cupcake Ferris Wheel",5400,6499,https://lego.mybrickhouse.com/products/lego-r-friends-candy-cupcake-ferris-wheel-42700
