set_number,name,current_lego_mrp_inr,mbh_storefront_price_NOT_A_CONFIRMED_MRP,mbh_url
76784,"Black Dahlia Flower",2500,2749,https://lego.mybrickhouse.com/products/wednesday-black-dahlia-flower-halloween-gift-faux-plant-room-decor-76784-building-kit-358-pieces
854306,"Mushroom Girl Key Chain",500,699,https://lego.mybrickhouse.com/products/mushroom-girl-keyring-aesthetic-display-toy-854306
71048,"Series 27 - Complete - All Sets",400,399,https://lego.mybrickhouse.com/products/minifigures-series-27-collectible-figures-71048-building-kit-9-pieces
10281,"Bonsai Tree",4800,5449,https://lego.mybrickhouse.com/products/bonsai-tree-10281-building-kit-878-pieces
40796,"Revenge of the Sith Heroes & Villains",4500,5449,https://lego.mybrickhouse.com/products/star-wars-brickheadz-revenge-of-the-sith-heroes-and-villains-set-40796-building-kit-656-pieces
40864,"Fortune Master",2700,2999,https://lego.mybrickhouse.com/products/lego-r-fortune-master-spring-festival-decoration-40864
76303,"Batman Tumbler vs. Two-Face & The Joker",6399,6399,https://lego.mybrickhouse.com/products/dc-batman-batman-tumbler-vs-two-face-the-joker-toy-car-76303-building-kit-429-pieces
21358,"Minifigure Vending Machine",16200,18299,https://lego.mybrickhouse.com/products/ideas-minifigure-vending-machine-21358-building-kit-1343-pieces
76442,"Hogwarts Castle: Charms Class",1800,2290,https://lego.mybrickhouse.com/products/harry-potter-hogwarts-castle-charms-class-wizard-toy-for-kids-76442-building-kit-204-pieces
10352,"The Simpsons: Krusty Burger",20100,20999,https://lego.mybrickhouse.com/products/lego-r-icons-the-simpsons-krusty-burger-building-set-for-adults-10352
854196,"Goofy Key Chain",500,699,https://lego.mybrickhouse.com/products/disney-classic-goofy-key-chain-854196-fun-gift-idea-for-kids-aged-6-and-up
40547,"Obi-Wan Kenobi & Darth Vader",1800,2099,https://lego.mybrickhouse.com/products/lego-r-brickheadz-star-wars-obi-wan-kenobi-darth-vader-40547-260-pieces
10360,"Shuttle Carrier Aircraft",20700,23799,https://lego.mybrickhouse.com/products/icons-shuttle-carrier-aircraft-home-office-decor-building-set-10360
42674,"Comic Book and Game Store",9000,9999,https://lego.mybrickhouse.com/products/friends-comic-book-and-game-shop-42674-building-kit-1005-pieces
40819,"Up-Scaled Racing Driver Minifigure",5400,5949,https://lego.mybrickhouse.com/products/scaled-up-racing-driver-minifigure-building-kit-40819-building-kit-694-pieces
10456,"McQueen's Visit to Doc's Garage",2700,3349,https://lego.mybrickhouse.com/products/duplo-disney-mcqueens-visit-to-docs-garage-10456-building-kit-35-pieces
30688,"Tropical Toucan",,399,https://lego.mybrickhouse.com/products/tropical-toucan-30688-building-kit-59-pieces
76439,"Ollivanders & Madam Malkin’s Robes",8100,9099,https://lego.mybrickhouse.com/products/harry-potter-ollivanders-madam-malkins-robes-76439-building-kit-744-pieces
854290,"Spider-Man Key Chain",500,699,https://lego.mybrickhouse.com/products/marvel-spider-man-keyring-854290
10452,"Camping Trip",1800,2290,https://lego.mybrickhouse.com/products/duplo-r-peppa-pig-camping-trip-building-playset-with-canoe-toy-10452-building-kit-32-pieces
10339,"Santa's Post Office",9000,11999,https://lego.mybrickhouse.com/products/icons-santa-s-post-office-building-set-10339-1440-pieces
40674,"Stitch",1200,899,https://lego.mybrickhouse.com/products/brickheadz-stitch-figure-buildable-toy-40674-building-kit-152-pieces
30665,"Baby Gorilla Encounter",,399,https://lego.mybrickhouse.com/products/baby-gorilla-encounter-30665-building-kit-34-pieces
75407,"Brick-Built Star Wars Logo",5400,8199,https://lego.mybrickhouse.com/products/brick-built-star-wars-logo-75407-building-kit-700-pieces
854296,"Rocket Raccoon Key Chain",500,699,https://lego.mybrickhouse.com/products/lego-r-marvel-rocket-raccoon-key-chain-854296-with-minifigure
43306,"Lotso",3600,4499,https://lego.mybrickhouse.com/products/lego-r-disney-and-pixar-toy-story-lotso-building-toy-43306
10466,"Train Ride with Grandpa Pig",3600,4999,https://lego.mybrickhouse.com/products/lego-duplo-peppa-pig-train-ride-with-grandpa-pig-toy-10466
42166,"NEOM McLaren Extreme E Race Car",2400,2749,https://lego.mybrickhouse.com/products/technic-neom-mclaren-extreme-e-race-car-42166-building-kit-252-pieces
60511,"Vintage Steam Train",8100,9999,https://lego.mybrickhouse.com/products/lego-r-city-vintage-steam-train-toy-building-set-60511
77073,"Battle Bus",9000,9099,https://lego.mybrickhouse.com/products/lego-r-fortnite-r-battle-bus-video-game-toy-77073
77092,"Great Deku Tree 2-in-1",27000,25499,https://lego.mybrickhouse.com/products/the-legend-of-zelda-great-deku-tree-2-in-1-set-77092-building-kit-2500-pieces
30670,"Santa's Sleigh Ride",,399,https://lego.mybrickhouse.com/products/santas-sleigh-ride-30670-building-kit-73-pieces
60423,"Downtown Streetcar and Station",8100,9099,https://lego.mybrickhouse.com/products/city-downtown-tram-and-station-toy-set-60423-building-kit-811-pieces
60502,"Airport with Airplane",9999,9999,https://lego.mybrickhouse.com/products/lego-r-city-airport-with-airplane-toy-model-airport-set-60502
31390,"Floral Art Decor Painting",2700,2999,https://lego.mybrickhouse.com/products/lego-r-creator-3-in-1-floral-art-decor-painting-31390
31378,"Space Exploration Telescope",3100,3899,https://lego.mybrickhouse.com/products/lego-r-creator-3-in-1-space-exploration-telescope-toy-31378
71865,"Zane's Ice Dragon Battle",3600,4499,https://lego.mybrickhouse.com/products/lego-r-ninjago-r-zane-s-ice-dragon-battle-toy-set-71865
11378,"Douglas DC-3 PAN AM Airliner",19800,21999,https://lego.mybrickhouse.com/products/lego-r-icons-douglas-dc-3-pan-am-r-airliner-model-kit-11378
72423,"Shrek, Donkey & Puss in Boots",11700,12999,https://lego.mybrickhouse.com/products/lego-r-shrek-shrek-donkey-puss-in-boots-figure-kit-72423
31137,"Adorable Dogs",2700,3199,https://lego.mybrickhouse.com/products/creator-adorable-dogs-31137-building-toy-set-475-pieces
40878,"Teenage Mutant Ninja Turtles Figures",3600,4499,https://lego.mybrickhouse.com/products/lego-r-brickheadz-tmnt-teenage-mutant-ninja-turtles-figures-40878
43217,"Up House​",5400,6399,https://lego.mybrickhouse.com/products/disney-and-pixar-up-house-43217-building-toy-set-598-pieces
77079,"Tomatohead",1600,1499,https://lego.mybrickhouse.com/products/lego-r-fortnite-r-tomatohead-building-set-77079
40891,"Stranger Things: WSQK Radio Station",,2499,https://lego.mybrickhouse.com/products/lego-r-icons-stranger-things-wsqk-radio-station-model-kit-40891
40856,"The Mandalorian and Grogu: Allies & Villains",3600,4499,https://lego.mybrickhouse.com/products/lego-r-star-wars-brickheadz-the-mandalorian-and-grogu-allies-villains-40856
10357,"Shelby Cobra 427 S/C",14400,16499,https://lego.mybrickhouse.com/products/icons-shelby-cobra-427-s-c-collectible-model-car-kit-for-adults-10357-building-kit-1241-pieces
42703,"Mermaid Roller Coaster Ride",9900,10999,https://lego.mybrickhouse.com/products/lego-r-friends-mermaid-roller-coaster-ride-building-toy-42703
40922,"Lilo & Stitch: Angel",1200,1299,https://lego.mybrickhouse.com/products/lego-r-brickheadz-lilo-stitch-angel-movie-gift-building-toy-40922
60488,"Fries Food Truck",1800,1999,https://lego.mybrickhouse.com/products/lego-r-city-fries-food-truck-toy-building-set-60488
40953,"London Bus",1800,1999,https://lego.mybrickhouse.com/products/lego-r-london-bus-toy-40953
40569,"London Postcard",1300,1449,https://lego.mybrickhouse.com/products/london-postcard-40569-building-kit-for-ages-9-277-pieces
10478,"3 in 1 Creative Ramps with Vehicles",6300,7499,https://lego.mybrickhouse.com/products/lego-r-duplo-r-town-3-in-1-creative-ramps-with-vehicles-10478
21356,"River Steamboat",29700,36499,https://lego.mybrickhouse.com/products/ideas-river-steamboat-nautical-decor-for-the-home-21356-building-kit-4090-pieces
854319,"Stitch Key Chain",500,699,https://lego.mybrickhouse.com/products/lego-r-disney-stitch-key-chain-fun-adults-or-kids-accessories-to-wear-854319
76967,"Little Eatie: T. rex",2200,2749,https://lego.mybrickhouse.com/products/jurassic-world-little-eatie-t-rex-dinosaur-model-building-kit-76967-building-kit-317-pieces
10375,"How to Train Your Dragon: Toothless",6300,7749,https://lego.mybrickhouse.com/products/icons-how-to-train-your-dragon-toothless-building-set-for-adults-10375-784-pieces
77241,"2 Fast 2 Furious Honda S2000",2400,3199,https://lego.mybrickhouse.com/products/speed-champions-2-fast-2-furious-honda-s2000-77241-building-kit-300-pieces
76962,"Baby Bumpy: Ankylosaurus",2200,2749,https://lego.mybrickhouse.com/products/jurassic-world-baby-bumpy-ankylosaurus-toy-76962-building-kit-358-pieces
42164,"Off-Road Race Buggy",1800,1799,https://lego.mybrickhouse.com/products/technic-off-road-race-buggy-car-toy-42164-building-kit-219-pieces
43263,"Beauty and the Beast Castle",25200,31199,https://lego.mybrickhouse.com/products/disney-princess-beauty-and-the-beast-castle-building-kit-43263-building-kit-2916-pieces
10354,"The Lord of the Rings: The Shire",24300,27499,https://lego.mybrickhouse.com/products/icons-the-lord-of-the-rings-the-shire-10354-building-kit-2017-pieces
10967,"Police Motorcycle",900,1099,https://lego.mybrickhouse.com/products/duplo-r-rescue-police-motorcycle-10967-building-toy-5-pieces
10344,"Lucky Bamboo",2700,3199,https://lego.mybrickhouse.com/products/botanicals-lucky-bamboo-plant-decor-10344-building-kit-325-pieces
31159,"Wild Animals: Surprising Spider",1200,1349,https://lego.mybrickhouse.com/products/creator-3in1-wild-animals-surprising-spider-toy-playset-31159-building-kit-153-pieces
11042,"Creative Happy Box",3600,4099,https://lego.mybrickhouse.com/products/classic-creative-happy-box-colourful-building-bricks-toy-11042-building-kit-680-pieces
21354,"Twilight The Cullen House",19800,22899,https://lego.mybrickhouse.com/products/ideas-twilight-the-cullen-house-film-memorabilia-21354-building-kit-2001-pieces
854313,"C-3PO Key Chain",500,699,https://lego.mybrickhouse.com/products/star-wars-c-3po-keyring-gift-idea-for-kids-aged-6-and-over-854313-building-kit
75640,"The Baratie Floating Restaurant",29700,32999,https://lego.mybrickhouse.com/products/one-piece-the-baratie-floating-restaurant-anime-gift-model-kit-75640-3402-pieces
40709,"Spring Animal Playground ​ ​",1200,1449,https://lego.mybrickhouse.com/products/spring-animal-playground-toy-playset-40709-building-kit-172-pieces
60458,"Pizza vs. Fire Truck Race Car Pack",900,899,https://lego.mybrickhouse.com/products/city-pizza-vs-fire-truck-race-car-pack-toy-soapbox-racing-set-60458-building-kit-70-pieces
77071,"Supply Llama",3600,4099,https://lego.mybrickhouse.com/products/lego-r-fortnite-r-supply-llama-video-game-toy-77071
854124,"The Mandalorian Key Chain",500,699,https://lego.mybrickhouse.com/products/star-wars-the-mandalorian-keyring-854124-fun-gift-idea-for-star-wars-fans
76970,"Baby Dinosaur Dolores: Aquilops",2500,2749,https://lego.mybrickhouse.com/products/jurassic-world-baby-dinosaur-dolores-aquilops-76970-building-kit-339-pieces
43010,"Nike Slam Dunk",6300,7749,https://lego.mybrickhouse.com/products/mrmw-43010-1
75379,"R2-D2",9000,9099,https://lego.mybrickhouse.com/products/star-wars-r2-d2-set-75379-building-kit-1050-pieces
40708,"Mini Disney Ariel's Castle",3600,4549,https://lego.mybrickhouse.com/products/disney-princess-mini-disney-ariel-s-castle-40708-building-kit-557-pieces
854115,"Hermione Key Chain",500,699,https://lego.mybrickhouse.com/products/harry-potter-hermione-granger-keyring-minifigure
40752,"Carl, Russell & Kevin",2200,2099,https://lego.mybrickhouse.com/products/brickheadz-disney-and-pixar-carl-russell-kevin-40752-building-kit-308-pieces
10333,"The Lord of the Rings: Barad-dûr",41400,43999,https://lego.mybrickhouse.com/products/icons-the-lord-of-the-rings-barad-dur-10333-building-kit-5471-pieces
77070,"Durrr Burger",1300,1799,https://lego.mybrickhouse.com/products/fortnite-r-durrr-burger-video-game-building-set-77070-193-pieces
71816,"Zane's Ice Motorcycle",900,1149,https://lego.mybrickhouse.com/products/ninjago-r-zane-s-ice-motorcycle-toy-set-71816-building-kit-84-pieces
76920,"Ford Mustang Dark Horse Sports Car",2400,3199,https://lego.mybrickhouse.com/products/speed-champions-ford-mustang-dark-horse-sports-car-76920-building-kit-344-pieces
76280,"Spider-Man vs. Sandman: Final Battle",3400,4099,https://lego.mybrickhouse.com/products/marvel-spider-man-vs-sandman-final-battle-set-76280-building-kit-347-pieces
76292,"Captain America vs. Red Hulk Battle",4900,5949,https://lego.mybrickhouse.com/products/marvel-captain-america-vs-red-hulk-battle-76292-building-kit-223-pieces
40649,"Up-Scaled LEGO Minifigure",5400,5949,https://lego.mybrickhouse.com/products/scaled-up-lego-minifigure-40649-building-toy-set-for-ages-10-654-pieces
854320,"Batgirl Key Chain",500,699,https://lego.mybrickhouse.com/products/lego-r-dc-batgirl-key-chain-with-super-hero-character-minifigure-854320
853999,"Minnie Key Chain",500,699,https://lego.mybrickhouse.com/products/disney-minnie-keyring-853999
75639,"The Going Merry Pirate Ship",12600,14499,https://lego.mybrickhouse.com/products/one-piece-the-going-merry-pirate-ship-boat-set-75639-building-kit-1376-pieces
854240,"Iron Man Key Chain",500,699,https://lego.mybrickhouse.com/products/marvel-iron-man-keyring-854240-practical-super-hero-gift-for-kids-aged-6
71841,"Dragonian Storm Village",3600,4099,https://lego.mybrickhouse.com/products/ninjago-r-dragonian-storm-village-battle-arena-toy-playset-71841-building-kit-305-pieces
40817,"Yellow Travel Suitcase",1300,1649,https://lego.mybrickhouse.com/products/lego-r-yellow-travel-suitcase-toy-luggage-model-building-kit-gift-40817
10454,"Mickey Mouse Clubhouse & Car",1800,2290,https://lego.mybrickhouse.com/products/duplo-r-disney-mickey-mouse-clubhouse-car-building-kit-10454-27-pieces
40619,"EVE & WALL•E",1800,1649,https://lego.mybrickhouse.com/products/brickheadz-disney-pixar-eve-wall-e-40619-building-toy-kit-155-pieces
40797,"Eeyore",1200,899,https://lego.mybrickhouse.com/products/brickheadz-disney-eeyore-animal-figure-40797-building-kit-156-pieces
10345,"Flower Arrangement",9900,10999,https://lego.mybrickhouse.com/products/botanicals-flower-arrangement-floral-home-decor-10345-building-kit-1161-pieces
75419,"Death Star",90000,104999,https://lego.mybrickhouse.com/products/star-wars-75419-1
60373,"Fire Rescue Boat",2700,2290,https://lego.mybrickhouse.com/products/city-fire-rescue-boat-60373-building-toy-set-144-pieces
854238,"Harley Quinn Keyring",500,699,https://lego.mybrickhouse.com/products/lego-r-dc-harley-quinn-key-chain-854238-fun-and-practical-gift-for-kids-aged-10
71806,"Cole's Earth Mech",1800,2290,https://lego.mybrickhouse.com/products/ninjago-r-cole-s-elemental-earth-mech-toy-71806-building-kit-235-pieces
854289,"Emperor Palpatine Key Chain",500,699,https://lego.mybrickhouse.com/products/star-wars-emperor-palpatine-keyring-854289
854288,"Luke Skywalker Pilot Key Chain",500,699,https://lego.mybrickhouse.com/products/star-wars-luke-skywalker-pilot-keyring-854288
40813,"Lucky Cat",2700,3199,https://lego.mybrickhouse.com/products/lucky-cat-good-luck-decor-piece-building-kit-40813-building-kit-280-pieces
40518,"High-Speed Train",1800,2099,https://lego.mybrickhouse.com/products/creator-high-speed-train-40518-building-kit-284-pieces
40519,"New York Postcard",1300,1449,https://lego.mybrickhouse.com/products/new-york-postcard-40519-building-kit-for-ages-9-255-pieces
21251,"Steve's Desert Expedition",1000,899,https://lego.mybrickhouse.com/products/minecraft-r-the-armoury-building-adventure-21251-building-kit-75-pieces
42622,"Adventure Camp Archery Range",1300,1449,https://lego.mybrickhouse.com/products/friends-adventure-camp-archery-range-toy-42622-building-kit-157-pieces
42624,"Adventure Camp Cozy Cabins",4000,5049,https://lego.mybrickhouse.com/products/friends-adventure-camp-cosy-cabins-camping-toy-42624-437-pieces
21353,"The Botanical Garden",29700,27499,https://lego.mybrickhouse.com/products/ideas-the-botanical-garden-nature-gift-21353-building-kit-3792-pieces
40707,"Year of the Snake",,1099,https://lego.mybrickhouse.com/products/year-of-the-snake-toy-40707-building-kit-174-pieces
71808,"Kai's Elemental Fire Mech",2700,3199,https://lego.mybrickhouse.com/products/ninjago-r-kai-s-elemental-fire-mech-toy-71808-building-kit-322-pieces
854158,"French Bulldog Guy Key Chain",500,699,https://lego.mybrickhouse.com/products/lego-r-french-bulldog-guy-key-chain-854158-with-minifigure
11036,"Creative Vehicles",4900,4999,https://lego.mybrickhouse.com/products/classic-creative-vehicles-building-toy-11036-building-kit-900-pieces
854201,"Santa Key Chain",500,699,https://lego.mybrickhouse.com/products/santa-keyring-854201-seasonal-gift-for-kids-aged-6
854294,"Loki Key Chain",500,699,https://lego.mybrickhouse.com/products/marvel-loki-keyring-854294
10421,"Alphabet Truck",3600,4549,https://lego.mybrickhouse.com/products/duplo-r-town-alphabet-truck-toy-10421-building-kit-36-pieces
42179,"Planet Earth and Moon in Orbit",7299,7299,https://lego.mybrickhouse.com/products/technic-planet-earth-and-moon-in-orbit-42179-building-kit-526-pieces
854291,"Groot Key Chain",500,699,https://lego.mybrickhouse.com/products/marvel-groot-keyring-854291
40478,"Mini Disney Castle",3600,4549,https://lego.mybrickhouse.com/products/disney-mini-disney-castle-40478-building-kit-567-pieces
10330,"McLaren MP4/4 & Ayrton Senna",7200,7299,https://lego.mybrickhouse.com/products/icons-mclaren-mp4-4-ayrton-senna-set-10330-693-pieces
40713,"Japan Postcard",1300,1449,https://lego.mybrickhouse.com/products/japan-postcard-gift-40713-building-kit-262-pieces
31155,"Hamster Wheel",2700,3199,https://lego.mybrickhouse.com/products/creator-hamster-wheel-3in1-animal-toy-set-31155-building-kit-416-pieces
10315,"Tranquil Garden",9900,11899,https://lego.mybrickhouse.com/products/icons-tranquil-garden-10315-building-kit-for-adults-1-363-pieces
10295,"Porsche 911 Turbo & 911 Targa",15300,18299,https://lego.mybrickhouse.com/products/porsche-911-10295-building-kit-1-458-pieces
10318,"Concorde",18000,18299,https://lego.mybrickhouse.com/products/icons-concorde-10318-building-set-2-083-pieces
21178,"The Fox Lodge",1800,2290,https://lego.mybrickhouse.com/products/minecraft-r-the-fox-lodge-21178-building-kit-193-pieces
